City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
Rikitea,PF,-23.1203,-134.9692,71.08,57,63,11.12,broken clouds,2023-06-10 17:12:54
Dikson,RU,73.5069,80.5464,35.71,89,100,7.56,light rain,2023-06-10 17:08:38
Kodiak,US,57.79,-152.4072,45.91,87,100,9.22,light rain,2023-06-10 17:12:55
Naze,JP,28.3667,129.4833,76.12,88,100,5.57,overcast clouds,2023-06-10 17:12:55
Yibin,CN,28.7667,104.6238,69.13,67,100,5.08,overcast clouds,2023-06-10 17:12:55
Miles City,US,46.4083,-105.8406,67.17,68,20,11.5,few clouds,2023-06-10 17:12:55
Zhangjiakou,CN,40.81,114.8794,60.42,45,24,4.21,few clouds,2023-06-10 17:12:55
Vanimo,PG,-2.6741,141.3028,78.37,91,97,4.61,overcast clouds,2023-06-10 17:12:55
Mahebourg,MU,-20.4081,57.7,75.49,73,20,9.22,few clouds,2023-06-10 17:12:55
Tamworth,GB,52.634,-1.6959,82.72,78,72,8.16,broken clouds,2023-06-10 17:12:56
Vacaria,BR,-28.5122,-50.9339,74.68,48,6,13.09,clear sky,2023-06-10 17:12:56
Thinadhoo,MV,0.5333,72.9333,83.84,70,38,4.16,scattered clouds,2023-06-10 17:12:56
Qaanaaq,GL,77.484,-69.3632,28.24,63,78,2.08,broken clouds,2023-06-10 17:12:56
Mar Del Plata,AR,-38.0023,-57.5575,58.08,50,20,19.57,few clouds,2023-06-10 17:12:56
Serebryansk,KZ,49.6925,83.2892,56.62,96,91,8.21,overcast clouds,2023-06-10 17:12:56
Iskateley,RU,67.6803,53.1512,39.94,69,100,19.3,overcast clouds,2023-06-10 17:12:56
Busselton,AU,-33.65,115.3333,56.57,71,86,16.58,overcast clouds,2023-06-10 17:12:56
Tchibanga,GA,-2.85,11.0333,75.65,87,96,4.16,overcast clouds,2023-06-10 17:12:56
Hobart,AU,-42.8794,147.3294,54.27,77,40,12.66,scattered clouds,2023-06-10 17:12:56
Bandarbeyla,SO,9.4942,50.8122,80.06,80,39,30.18,scattered clouds,2023-06-10 17:12:57
Bluff,NZ,-46.6,168.3333,44.19,79,91,8.75,light rain,2023-06-10 17:10:13
Saint-Philippe,RE,-21.3585,55.7679,74.79,83,59,12.68,light rain,2023-06-10 17:12:57
Ilulissat,GL,69.2167,-51.1,42.82,87,75,8.05,moderate rain,2023-06-10 17:12:57
Tuktoyaktuk,CA,69.4541,-133.0374,32.0,93,100,16.11,overcast clouds,2023-06-10 17:12:57
San Vicente,AR,-26.6167,-54.1333,76.15,50,61,5.99,broken clouds,2023-06-10 17:12:57
Carnarvon,AU,-24.8667,113.6333,67.44,69,0,9.86,clear sky,2023-06-10 17:12:57
Coquimbo,CL,-29.9533,-71.3436,60.53,77,20,5.75,few clouds,2023-06-10 17:12:57
Thompson,CA,55.7435,-97.8558,71.19,22,36,4.65,scattered clouds,2023-06-10 17:08:22
Alice Springs,AU,-23.7,133.8833,58.21,24,40,5.75,scattered clouds,2023-06-10 17:12:57
Yumen,CN,40.2833,97.2,76.12,16,59,3.6,broken clouds,2023-06-10 17:12:57
Ponta Do Sol,PT,32.6667,-17.1,76.71,81,4,7.05,clear sky,2023-06-10 17:12:58
Fortuna,US,40.5982,-124.1573,57.92,90,100,0.0,overcast clouds,2023-06-10 17:12:58
Atambua,ID,-9.1061,124.8925,70.52,86,17,6.02,few clouds,2023-06-10 17:12:58
New Norfolk,AU,-42.7826,147.0587,53.92,86,74,4.0,broken clouds,2023-06-10 17:12:58
Victor Harbor,AU,-35.5667,138.6167,50.68,80,20,7.38,few clouds,2023-06-10 17:12:58
Magadan,RU,59.5667,150.8,42.48,92,61,4.43,broken clouds,2023-06-10 17:12:58
Severo-Kurilsk,RU,50.6789,156.125,44.51,69,79,10.51,broken clouds,2023-06-10 17:12:58
Miracema Do Tocantins,BR,-9.5618,-48.3967,93.88,35,44,5.68,scattered clouds,2023-06-10 17:12:58
Barrow,US,71.2906,-156.7887,26.62,86,75,19.57,broken clouds,2023-06-10 17:12:58
Gazli,UZ,40.1333,63.45,87.51,10,76,13.82,broken clouds,2023-06-10 17:12:58
Bredasdorp,ZA,-34.5322,20.0403,55.35,79,40,2.1,scattered clouds,2023-06-10 17:12:59
Bhubaneswar,IN,20.2333,85.8333,84.42,74,75,4.61,haze,2023-06-10 17:12:59
Rocha,UY,-34.4833,-54.3333,61.34,36,71,11.7,broken clouds,2023-06-10 17:08:23
Saldanha,ZA,-33.0117,17.9442,53.65,79,16,4.61,few clouds,2023-06-10 17:12:59
Namatanai,PG,-3.6667,152.4333,78.53,84,82,3.98,light rain,2023-06-10 17:12:59
Kitgum,UG,3.2783,32.8867,68.7,92,96,1.95,moderate rain,2023-06-10 17:12:59
Kapaa,US,22.0752,-159.319,76.19,89,0,9.22,light rain,2023-06-10 17:12:59
Lompoc,US,34.6391,-120.4579,62.62,84,100,8.05,overcast clouds,2023-06-10 17:12:59
Kieta,PG,-6.2167,155.6333,78.33,84,40,3.02,scattered clouds,2023-06-10 17:12:59
Broome,US,42.2506,-75.833,72.7,71,20,4.61,few clouds,2023-06-10 17:12:59
Georgetown,MY,5.4112,100.3354,84.13,79,20,0.0,few clouds,2023-06-10 17:10:19
Chuy,UY,-33.6971,-53.4616,58.64,62,74,7.96,broken clouds,2023-06-10 17:13:00
Mango,US,27.9797,-82.3065,91.72,61,40,4.61,scattered clouds,2023-06-10 17:13:00
Sao Filipe,CV,14.8961,-24.4956,78.82,74,3,8.79,clear sky,2023-06-10 17:13:00
Port Blair,IN,11.6667,92.75,81.77,85,100,18.12,light rain,2023-06-10 17:11:52
Lebu,CL,-37.6167,-73.65,51.3,62,62,12.64,broken clouds,2023-06-10 17:13:00
Katsuura,JP,35.1333,140.3,70.11,96,100,3.36,light rain,2023-06-10 17:13:00
Trapani,IT,37.8333,12.6667,75.27,83,20,10.36,few clouds,2023-06-10 17:13:00
Tasiilaq,GL,65.6145,-37.6368,42.96,82,100,8.77,overcast clouds,2023-06-10 17:13:00
Norman Wells,CA,65.282,-126.8329,55.44,76,75,19.57,broken clouds,2023-06-10 17:13:01
Provideniya,RU,64.3833,-173.3,39.92,91,99,4.83,overcast clouds,2023-06-10 17:13:01
Khatanga,RU,71.9667,102.5,39.38,61,100,10.67,overcast clouds,2023-06-10 17:13:01
Pevek,RU,69.7008,170.3133,31.6,83,25,3.96,scattered clouds,2023-06-10 17:13:01
Coihaique,CL,-45.5752,-72.0662,40.95,60,20,3.44,few clouds,2023-06-10 17:13:01
Kenai,US,60.5544,-151.2583,51.15,86,100,3.44,overcast clouds,2023-06-10 17:13:01
Touros,BR,-5.1989,-35.4608,84.52,64,27,15.32,scattered clouds,2023-06-10 17:10:55
Bokhan,RU,53.153,103.7714,63.7,76,61,2.48,broken clouds,2023-06-10 17:13:01
Berbera,SO,10.4396,45.0143,92.79,55,84,3.13,broken clouds,2023-06-10 17:13:01
San Cristobal,VE,7.7669,-72.225,87.98,52,29,7.83,scattered clouds,2023-06-10 17:13:01
Ust-Omchug,RU,61.15,149.6333,47.84,82,17,4.16,few clouds,2023-06-10 17:13:02
Arlit,NE,18.7369,7.3853,95.2,26,41,24.02,scattered clouds,2023-06-10 17:13:02
Pacific Grove,US,36.6177,-121.9166,58.42,83,100,11.01,overcast clouds,2023-06-10 17:13:02
Narsaq,GL,60.9167,-46.05,62.82,51,98,3.98,overcast clouds,2023-06-10 17:13:02
Labuhan,ID,-6.8844,112.2051,77.77,83,38,6.67,scattered clouds,2023-06-10 17:13:02
Sioux Lookout,CA,50.1001,-91.917,57.27,54,75,8.05,broken clouds,2023-06-10 17:13:02
Grand Gaube,MU,-20.0064,57.6608,75.6,74,2,1.01,clear sky,2023-06-10 17:13:02
Chernyshevskiy,RU,63.0128,112.4714,60.96,91,76,11.61,broken clouds,2023-06-10 17:13:02
Nabire,ID,-3.3667,135.4833,76.37,90,95,2.46,overcast clouds,2023-06-10 17:13:02
Kirakira,SB,-10.4544,161.9205,78.35,88,70,6.02,broken clouds,2023-06-10 17:13:03
Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,85.5,48,15,6.4,few clouds,2023-06-10 17:13:03
Pisco,PE,-13.7,-76.2167,71.65,68,100,6.91,overcast clouds,2023-06-10 17:13:03
Hilo,US,19.7297,-155.09,72.63,84,75,6.91,broken clouds,2023-06-10 17:13:03
Hounde,BF,11.5,-3.5167,99.12,27,97,3.58,overcast clouds,2023-06-10 17:08:35
Kungurtug,RU,50.5994,97.5228,59.0,58,17,2.37,few clouds,2023-06-10 17:13:03
Tual,ID,-5.6667,132.75,81.63,81,99,21.9,overcast clouds,2023-06-10 17:13:03
Kazachinskoye,RU,57.6953,93.2761,57.0,61,100,7.72,overcast clouds,2023-06-10 17:12:48
Cabo San Lucas,MX,22.8909,-109.9124,93.51,25,0,6.91,clear sky,2023-06-10 17:08:26
Vaini,TO,-21.2,-175.2,62.76,100,75,2.3,broken clouds,2023-06-10 17:13:04
Port Alfred,ZA,-33.5906,26.891,60.08,68,1,7.2,clear sky,2023-06-10 17:13:04
Kuusamo,FI,65.9667,29.1833,59.04,31,0,8.05,clear sky,2023-06-10 17:13:04
Hithadhoo,MV,-0.6,73.0833,83.59,74,38,8.12,scattered clouds,2023-06-10 17:13:04
Butaritari,KI,3.0707,172.7902,82.44,76,97,10.11,light rain,2023-06-10 17:13:04
Areosa,PT,41.7178,-8.8571,67.08,77,14,5.06,few clouds,2023-06-10 17:13:04
Kesinga,IN,20.2,83.2333,94.15,25,80,5.17,broken clouds,2023-06-10 17:13:05
Namibe,AO,-15.1961,12.1522,66.38,80,46,7.16,scattered clouds,2023-06-10 17:13:05
Nara,JP,34.6851,135.8049,70.92,81,100,3.09,light rain,2023-06-10 17:09:39
Bilma,NE,18.6853,12.9164,105.04,16,19,1.97,few clouds,2023-06-10 17:13:05
Lorengau,PG,-2.0226,147.2712,81.52,78,63,4.79,broken clouds,2023-06-10 17:13:05
Dubbo,AU,-32.25,148.6167,37.53,93,0,9.22,clear sky,2023-06-10 17:13:05
Puerto Ayora,EC,-0.7393,-90.3518,84.16,93,98,11.01,light rain,2023-06-10 17:13:05
Rafsanjan,IR,30.4067,55.9939,87.35,18,18,9.24,few clouds,2023-06-10 17:13:05
Aklavik,CA,68.2191,-135.0107,35.6,93,100,9.22,light rain,2023-06-10 17:13:05
Bengkulu,ID,-3.8004,102.2655,75.78,93,57,3.4,broken clouds,2023-06-10 17:13:06
Reggio Di Calabria,IT,38.1105,15.6613,75.54,74,57,13.8,broken clouds,2023-06-10 17:13:06
Faanui,PF,-16.4833,-151.75,80.1,63,100,15.01,overcast clouds,2023-06-10 17:13:06
Shingu,JP,33.7333,135.9833,65.66,97,100,5.66,light rain,2023-06-10 17:13:06
Hare Bay,CA,48.8499,-54.0148,45.75,98,100,11.21,moderate rain,2023-06-10 17:13:06
Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,66,5,12.75,clear sky,2023-06-10 17:13:06
Nanortalik,GL,60.1432,-45.2371,42.04,72,77,10.45,broken clouds,2023-06-10 17:13:06
Zhicheng,CN,30.2956,111.5047,80.89,58,100,3.22,overcast clouds,2023-06-10 17:13:07
Manaure,CO,11.7751,-72.4445,90.91,55,18,16.55,few clouds,2023-06-10 17:13:07
Takoradi,GH,4.8845,-1.7554,78.96,80,94,13.91,overcast clouds,2023-06-10 17:13:07
Chalus,IR,36.655,51.4204,72.86,83,20,2.3,few clouds,2023-06-10 17:13:07
Kitzingen,DE,49.7333,10.1667,82.02,71,94,8.88,light rain,2023-06-10 17:13:07
Tecolutla,MX,20.4833,-97.0167,91.26,67,44,12.82,scattered clouds,2023-06-10 17:13:07
Chokurdakh,RU,70.6333,147.9167,63.01,47,100,10.6,overcast clouds,2023-06-10 17:13:07
Mount Gambier,AU,-37.8333,140.7667,47.8,97,58,5.99,broken clouds,2023-06-10 17:13:07
Upernavik,GL,72.7868,-56.1549,31.01,97,100,2.44,snow,2023-06-10 17:13:07
Hami,CN,42.8,93.45,88.83,11,0,7.99,clear sky,2023-06-10 17:09:59
Hermanus,ZA,-34.4187,19.2345,50.81,77,49,2.46,scattered clouds,2023-06-10 17:13:08
Port Augusta,AU,-32.5,137.7667,50.13,68,0,3.85,clear sky,2023-06-10 17:13:08
Qui Nhon,VN,13.7667,109.2333,84.09,70,100,7.87,overcast clouds,2023-06-10 17:13:08
Manacapuru,BR,-3.2997,-60.6206,89.35,56,100,4.14,overcast clouds,2023-06-10 17:09:23
Cabedelo,BR,-6.9811,-34.8339,84.87,71,19,13.85,few clouds,2023-06-10 17:13:08
Ostrovnoy,RU,68.0531,39.5131,40.96,79,100,12.33,overcast clouds,2023-06-10 17:13:08
Jamestown,US,42.097,-79.2353,75.02,41,20,14.97,few clouds,2023-06-10 17:13:08
Kahului,US,20.8947,-156.47,78.82,69,20,18.41,few clouds,2023-06-10 17:13:09
Puerto Escondido,MX,15.85,-97.0667,90.43,62,75,9.22,broken clouds,2023-06-10 17:11:51
Kokopo,PG,-4.352,152.2633,76.78,89,100,5.26,light rain,2023-06-10 17:13:09
Broken Hill,AU,-31.95,141.4333,49.73,66,0,7.61,clear sky,2023-06-10 17:13:09
Chapais,CA,49.7834,-74.8492,67.78,76,100,5.68,light rain,2023-06-10 17:12:16
Rafai,CF,4.95,23.9167,77.31,68,100,1.5,overcast clouds,2023-06-10 17:11:18
Rudnichnyy,RU,59.617,52.4703,41.11,67,52,7.7,broken clouds,2023-06-10 17:13:09
Cape Town,ZA,-33.9258,18.4232,59.11,76,27,4.0,scattered clouds,2023-06-10 17:08:51
Hualmay,PE,-11.0964,-77.6139,73.54,70,68,10.2,broken clouds,2023-06-10 17:13:09
Cherskiy,RU,68.75,161.3,54.52,40,21,2.13,few clouds,2023-06-10 17:13:10
Isangel,VU,-19.55,169.2667,68.59,68,3,10.49,clear sky,2023-06-10 17:13:10
Hofn,IS,64.2539,-15.2082,51.04,57,36,8.68,scattered clouds,2023-06-10 17:13:10
Miri,MY,4.4148,114.0089,80.04,79,88,2.17,overcast clouds,2023-06-10 17:13:10
La Primavera,CO,5.4906,-70.4092,88.54,56,8,3.87,clear sky,2023-06-10 17:13:10
Olonets,RU,60.9847,32.9698,50.07,61,29,6.93,scattered clouds,2023-06-10 17:13:10
Sola,VU,-13.8833,167.55,77.77,75,100,24.11,overcast clouds,2023-06-10 17:13:10
Victoria,HK,22.2855,114.1577,86.2,89,100,1.01,moderate rain,2023-06-10 17:13:11
Kansk,RU,56.2017,95.7175,58.64,90,100,6.06,overcast clouds,2023-06-10 17:13:11
Ribeira Grande,PT,38.5167,-28.7,70.2,64,20,13.8,few clouds,2023-06-10 17:13:11
San Luis,AR,-33.295,-66.3356,53.83,27,14,23.62,few clouds,2023-06-10 17:13:11
Green River,US,41.5286,-109.4662,68.18,38,13,2.68,few clouds,2023-06-10 17:13:11
Vysokogornyy,RU,50.1167,139.15,46.53,96,5,2.8,clear sky,2023-06-10 17:13:11
Belen,TR,36.4891,36.2233,71.74,61,0,19.57,clear sky,2023-06-10 17:11:50
Zhigansk,RU,66.7697,123.3711,54.54,81,100,3.47,overcast clouds,2023-06-10 17:13:11
Totness,SR,5.8833,-56.3167,85.33,66,44,6.64,scattered clouds,2023-06-10 17:13:12
Turan,VN,16.0678,108.2208,82.38,89,20,2.3,few clouds,2023-06-10 17:12:34
Asau,RO,46.4333,26.4,74.32,80,77,1.83,broken clouds,2023-06-10 17:13:12
Mastic Beach,US,40.7668,-72.8521,74.53,51,0,13.8,clear sky,2023-06-10 17:13:12
Salina,US,38.8403,-97.6114,80.02,63,20,8.05,few clouds,2023-06-10 17:11:14
Husavik,IS,66.0449,-17.3389,44.83,68,97,1.9,overcast clouds,2023-06-10 17:13:12
Nikki,BJ,9.9401,3.2108,85.59,56,88,8.66,light rain,2023-06-10 17:13:12
Otradnoye,RU,59.7775,30.8181,57.25,43,1,4.09,clear sky,2023-06-10 17:13:12
Kavaratti,IN,10.5669,72.642,85.46,78,95,20.69,overcast clouds,2023-06-10 17:13:12
Fort Nelson,CA,58.8053,-122.7002,67.59,40,100,5.75,overcast clouds,2023-06-10 17:11:44
Saint-Augustin,CA,51.226,-58.6502,51.51,85,100,2.73,overcast clouds,2023-06-10 17:13:13
Yasnogorsk,RU,54.4803,37.6975,51.91,65,97,14.32,overcast clouds,2023-06-10 17:13:13
Umba,RU,66.6871,34.3429,49.91,54,100,4.09,overcast clouds,2023-06-10 17:13:13
Swellendam,ZA,-34.0226,20.4417,57.65,66,57,3.06,broken clouds,2023-06-10 17:13:13
Nikolayevsk-Na-Amure,RU,53.1406,140.73,58.3,93,100,3.27,light rain,2023-06-10 17:13:13
Gorele,TR,41.0308,39.0031,65.12,92,97,2.08,overcast clouds,2023-06-10 17:13:13
Roma,US,43.2128,-75.4557,69.39,63,20,5.75,few clouds,2023-06-10 17:13:13
Vestmannaeyjar,IS,63.4427,-20.2734,47.39,66,0,20.71,clear sky,2023-06-10 17:13:13
Kisangani,CD,0.5167,25.2,75.15,81,89,2.55,overcast clouds,2023-06-10 17:13:13
Nemuro,JP,43.3236,145.575,49.21,96,99,1.59,overcast clouds,2023-06-10 17:13:14
Troy,US,42.6056,-83.1499,83.61,34,0,10.36,clear sky,2023-06-10 17:12:59
Ambovombe,MG,-25.1667,46.0833,67.66,87,0,4.09,clear sky,2023-06-10 17:13:14
Tecoanapa,MX,16.5167,-98.75,87.75,60,77,8.19,broken clouds,2023-06-10 17:13:14
Sitka,US,57.0531,-135.33,51.69,87,100,3.44,light rain,2023-06-10 17:13:14
Tiksi,RU,71.6872,128.8694,37.62,73,29,8.37,scattered clouds,2023-06-10 17:13:14
Solnechnyy,RU,50.7214,136.6319,55.06,87,4,4.65,clear sky,2023-06-10 17:13:14
Saint George,US,37.1041,-113.5841,82.42,27,0,5.75,clear sky,2023-06-10 17:09:42
Cascais,PT,38.6979,-9.4215,77.5,77,20,11.99,few clouds,2023-06-10 17:13:15
Corum,TR,40.5,34.75,63.39,72,41,2.73,scattered clouds,2023-06-10 17:13:15
Maceio,BR,-9.6658,-35.7353,83.64,65,40,11.5,scattered clouds,2023-06-10 17:13:15
Bereda,ES,43.2686,-7.5406,67.57,94,100,3.11,light rain,2023-06-10 17:13:15
Tuatapere,NZ,-46.1333,167.6833,45.55,87,99,5.68,light rain,2023-06-10 17:08:31
Gravdal,NO,68.1214,13.5031,49.42,63,74,6.06,broken clouds,2023-06-10 17:13:15
Cessnock,AU,-32.8333,151.35,49.08,87,0,2.28,clear sky,2023-06-10 17:13:15
Loreto,MX,22.2667,-101.9667,82.54,17,6,8.28,clear sky,2023-06-10 17:13:15
Baghdad,IQ,33.3406,44.4009,93.11,24,75,6.91,broken clouds,2023-06-10 17:09:46
Bukama,CD,-9.2,25.85,79.12,31,1,1.61,clear sky,2023-06-10 17:13:16
Vagur,FO,61.4732,-6.8119,49.48,93,76,11.63,broken clouds,2023-06-10 17:13:16
Arraial Do Cabo,BR,-22.9661,-42.0278,85.86,39,0,4.61,clear sky,2023-06-10 17:13:16
North Bend,US,43.4065,-124.2243,66.92,72,75,10.36,broken clouds,2023-06-10 17:13:16
Porto Walter,BR,-8.2686,-72.7439,82.02,84,56,3.96,broken clouds,2023-06-10 17:13:16
Coos Bay,US,43.3665,-124.2179,66.99,72,75,10.36,broken clouds,2023-06-10 17:13:16
Alugan,PH,12.2188,125.4808,79.39,88,100,5.39,overcast clouds,2023-06-10 17:13:16
Awbari,LY,26.5921,12.7805,102.16,13,0,12.03,clear sky,2023-06-10 17:13:16
Vardo,NO,70.3705,31.1107,42.78,87,100,8.05,overcast clouds,2023-06-10 17:13:17
Rawson,AR,-43.3002,-65.1023,44.89,45,20,23.02,few clouds,2023-06-10 17:13:17
Maarianhamina,AX,60.0973,19.9348,58.86,55,0,8.05,clear sky,2023-06-10 17:13:17
Houma,US,29.5958,-90.7195,92.01,58,40,4.0,scattered clouds,2023-06-10 17:10:01
Aras,ES,42.5617,-2.356,77.41,36,0,2.3,clear sky,2023-06-10 17:13:17
Agadez,NE,19.75,10.25,104.4,15,1,7.92,clear sky,2023-06-10 17:13:17
Codrington,AU,-38.2667,141.9667,49.6,94,52,9.17,broken clouds,2023-06-10 17:13:17
Srednekolymsk,RU,67.45,153.6833,62.82,29,39,5.44,scattered clouds,2023-06-10 17:10:34
Sabha,LY,27.0377,14.4283,100.0,15,0,9.35,clear sky,2023-06-10 17:13:17
Praia,CV,14.9215,-23.5087,84.74,51,20,20.71,few clouds,2023-06-10 17:13:18
Tiruchchendur,IN,8.4833,78.1167,86.7,61,100,12.97,overcast clouds,2023-06-10 17:13:18
Bowen,AU,-20.0167,148.2333,66.0,89,8,11.12,clear sky,2023-06-10 17:13:18
San Patricio,US,28.017,-97.5169,93.87,45,0,10.38,clear sky,2023-06-10 17:13:18
Gilgit,PK,35.9221,74.3087,77.76,29,6,5.99,clear sky,2023-06-10 17:13:18
Beroroha,MG,-21.6667,45.1667,69.21,31,0,3.74,clear sky,2023-06-10 17:13:18
Farah,AF,32.5,62.5,83.7,21,0,3.87,clear sky,2023-06-10 17:13:18
Leningradskiy,RU,69.3833,178.4167,33.19,89,79,8.84,broken clouds,2023-06-10 17:13:18
Antofagasta,CL,-23.65,-70.4,65.48,68,20,7.92,few clouds,2023-06-10 17:13:19
Mehamn,NO,71.0357,27.8492,48.15,66,100,9.22,overcast clouds,2023-06-10 17:13:19
Langxiang,CN,46.95,128.8833,55.02,94,58,2.93,broken clouds,2023-06-10 17:13:19
Springbok,ZA,-29.6643,17.8865,54.82,42,0,4.41,clear sky,2023-06-10 17:13:19
Samarai,PG,-10.6167,150.6667,79.3,82,87,16.04,overcast clouds,2023-06-10 17:13:19
Salalah,OM,17.0151,54.0924,86.09,84,75,9.22,broken clouds,2023-06-10 17:12:02
Ponca City,US,36.707,-97.0856,73.42,79,0,0.0,clear sky,2023-06-10 17:13:19
Tigil,RU,57.8,158.6667,44.46,86,100,5.12,overcast clouds,2023-06-10 17:13:19
Viedma,AR,-40.8135,-62.9967,49.89,41,55,24.11,broken clouds,2023-06-10 17:13:20
Khash,IR,28.2211,61.2158,85.12,21,51,10.29,broken clouds,2023-06-10 17:13:20
Basco,PH,20.4487,121.9702,82.08,84,62,16.82,moderate rain,2023-06-10 17:13:20
Hobyo,SO,5.3505,48.5268,80.31,82,67,27.92,broken clouds,2023-06-10 17:13:20
Acapulco,MX,16.8634,-99.8901,87.62,66,0,6.91,clear sky,2023-06-10 17:08:25
Khani,GE,41.9563,42.9566,60.37,99,98,3.04,overcast clouds,2023-06-10 17:13:20
Bonavista,CA,48.6499,-53.1147,41.9,99,100,13.44,moderate rain,2023-06-10 17:13:20
Wodonga,AU,-36.1167,146.8833,49.1,100,87,2.75,overcast clouds,2023-06-10 17:13:20
Marsh Harbour,BS,26.5412,-77.0636,84.4,64,0,6.6,clear sky,2023-06-10 17:13:20
Oparino,RU,59.8518,48.2783,42.24,69,80,5.46,broken clouds,2023-06-10 17:13:21
Salinopolis,BR,-0.6136,-47.3561,83.79,72,56,12.08,broken clouds,2023-06-10 17:10:16
Morros,BR,-9.4467,-46.3003,91.65,32,9,7.78,clear sky,2023-06-10 17:13:21
Harper,LR,4.375,-7.7169,78.06,87,100,10.98,moderate rain,2023-06-10 17:13:21
Airai,TL,-8.9266,125.4092,56.35,84,21,3.98,few clouds,2023-06-10 17:13:21
Moose Factory,CA,51.2585,-80.6094,41.0,81,100,8.05,overcast clouds,2023-06-10 17:13:21
Arman,RU,59.7,150.1667,41.25,96,61,0.6,broken clouds,2023-06-10 17:13:21
Brainerd,US,46.358,-94.2008,69.58,72,100,13.8,haze,2023-06-10 17:13:21
Berlevag,NO,70.8578,29.0864,49.8,71,20,16.11,few clouds,2023-06-10 17:13:22
Nome,US,64.5011,-165.4064,49.15,87,75,0.0,broken clouds,2023-06-10 17:09:04
Vitoria Do Mearim,BR,-3.4622,-44.8706,89.11,54,10,3.56,clear sky,2023-06-10 17:13:22
Churapcha,RU,62.0025,132.4325,52.41,69,61,4.63,broken clouds,2023-06-10 17:13:22
Kudahuvadhoo,MV,2.6708,72.8944,82.92,78,61,5.1,broken clouds,2023-06-10 17:13:22
Lucapa,AO,-8.4192,20.7447,78.3,40,100,2.08,overcast clouds,2023-06-10 17:13:22
Half Moon Bay,US,37.4636,-122.4286,63.88,84,100,9.22,overcast clouds,2023-06-10 17:13:22
Klaksvik,FO,62.2266,-6.589,54.52,91,98,13.47,overcast clouds,2023-06-10 17:12:33
